Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.68,0.06,1.657%,370574955.00,Canada,,215881,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$4.32,0.13,3.103%,196053830.00,Israel,,603482,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.701,0.061,0.229%,,United States,,2815,,
PRK,Park National Corporation Common Stock,$136.25,6.00,4.607%,2222808524.00,United States,,99043,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.89,-0.03,-0.302%,142168750.00,United States,2020,9657,Finance,Business Services
PTN,Palatin Technologies Inc. Common Stock,$0.6823,-0.0154,-2.207%,156952408.00,United States,,2643214,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$35.12,0.36,1.036%,115879599.00,United States,,52915,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$25.75,-0.37,-1.417%,,United States,,202,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.03,0.00,0.00%,37313342.00,United States,2015,149304,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.44,0.05,2.092%,14522773.00,United States,,15528,,
REI,Ring Energy Inc. Common Stock,$2.62,0.07,2.745%,213971732.00,United States,,8334098,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$17.00,-0.75,-4.225%,15137072.00,United States,,34346,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$5.04,-0.03,-0.592%,8508624.00,,2017,678967,Consumer Services,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.63,-0.06,-2.23%,,,,1500,,
RLGT,Radiant Logistics Inc. Common Stock,$6.95,-0.10,-1.418%,347274396.00,United States,,200871,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$5.69,-0.11,-1.897%,18342125.00,,2018,219279,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$11.15,-0.70,-5.907%,377055135.00,United States,,477474,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.2692,0.0676,0.268%,0.00,United States,2019,5481,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$4.70,0.01,0.213%,103986565.00,United States,2017,124567,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$26.011,-0.029,-0.111%,0.00,United States,2019,278,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.685,0.01,0.039%,0.00,United States,2020,950,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.9955,0.0355,3.698%,25502207.00,,2014,383122,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3681.00,229.54,6.651%,4272827499.00,United States,1996,1477,Consumer Services,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$2.52,0.04,1.613%,938167731.00,United States,,40578235,Capital Goods,Industrial Machinery/Components
SIF,SIFCO Industries Inc. Common Stock,$8.565,0.235,2.821%,51040796.00,United States,,15671,Capital Goods,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$7.27,-0.31,-4.09%,1049482398.00,,2018,1641943,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$12.7066,-0.2934,-2.257%,2108063962.00,Mexico,1993,1198,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$2.60,-0.06,-2.256%,423280000.00,,,652573,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.9521,0.0099,1.051%,52055344.00,United States,,210577,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.74,0.1369,8.54%,12004819.00,United States,,677022,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$6.96,-0.09,-1.277%,512883708.00,United States,,277653,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.00,-0.14,-2.724%,876791060.00,,,1401225,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.89,-0.005,-0.056%,22122116.00,United States,,836,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.5941,0.0441,8.018%,77027783.00,United States,,12300895,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.63,-0.02,-1.212%,461340569.00,Canada,,2057393,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.16,-0.02,-1.695%,226093493.00,Canada,,149673,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$2.73,0.20,7.905%,30770865.00,,,60444,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.83,-0.13,-6.633%,21683727.00,United States,2015,3142328,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$89.69,3.14,3.628%,1343540504.00,United States,,53290,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.20,-0.03,-1.345%,317208604.00,Canada,,479970,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.04,-0.05,-2.392%,65631098.00,,,53578,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$4.75,-0.18,-3.651%,17625136.00,United States,,13855,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.63,0.00,0.00%,157880668.00,Canada,,2038163,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$1.10,-0.04,-3.509%,113080110.00,United States,,5964221,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$6.22,0.38,6.507%,365745784.00,United States,,5993308,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$1.99,-0.05,-2.451%,396127225.00,Canada,,3212641,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.41,-0.26,-3.898%,62684332.00,United States,2015,5297,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.04,0.04,4.00%,196426152.00,Canada,,3311894,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.36,-0.01,-0.422%,302902590.00,,2017,693402,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.11,0.13,0.42%,1732731803.00,United States,2004,300952,,
UUU,Universal Security Instruments Inc. Common Stock,$5.99,0.12,2.044%,13854193.00,United States,,130109,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$4.90,-0.37,-7.021%,679363803.00,,,3060544,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.2512,-0.016,-0.112%,68934480.00,United States,1993,392,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$12.94,0.015,0.116%,58598052.00,United States,1993,4329,,
VGZ,Vista Gold Corp Common Stock,$0.90,-0.0273,-2.944%,93039934.00,United States,,568063,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.94,0.04,0.404%,250053125.00,,2021,31867,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.62,-0.12,-1.022%,515829823.00,United States,,88014,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.21,0.04,0.304%,151980720.00,United States,1993,5569,,
VNRX,VolitionRX Limited Common Stock,$3.84,0.05,1.319%,202464576.00,Singapore,2015,262624,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$2.90,0.05,1.754%,63036068.00,United States,,37299,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.479,-0.006,-0.172%,88145482.00,,2021,65062,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.26,-0.10,-7.353%,170853020.00,Canada,2011,669411,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.67,0.10,6.369%,36230667.00,United States,,96415,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$10.51,-0.01,-0.095%,88901294.00,United States,,155126,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.926,0.026,2.889%,53893200.00,United States,,4144813,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$2.66,-0.18,-6.338%,230641381.00,United States,,660324,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$2.17,-0.23,-9.583%,301324449.00,United States,,3336887,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$3.96,0.29,7.902%,207056967.00,United States,2017,594957,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.63,0.13,1.529%,,United States,,5278,,
ZDGE,Zedge Inc. Class B Common Stock ,$9.36,-0.14,-1.474%,117222646.00,,2016,250256,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$1.88,0.10,5.618%,1780920629.00,United States,2017,58843729,Health Care,Major Pharmaceuticals
